reviews,labels
beli harddisk eksternal mantapp barang nya sesuai pesan,positif
beli harddisk eksternal poko puas,positif
beli harddisk eksternal maaf gan sist sya mau tanya soal cicil gimana cara ya,netral
beli harddisk eksternal barang bagus lihat nyamping tdak jelas,positif
beli harddisk eksternal product ok sesuai foto,positif
beli harddisk eksternal barang bagus kabel usb nya juga ada trimakasih,positif
beli harddisk eksternal overall oke good and recommended,positif
beli harddisk eksternal kemas rapi kirim cepat produk bagus,positif
beli harddisk eksternal ok,positif
beli harddisk eksternal mantaf,positif
beli harddisk eksternal pengirimanx cepat packingx rapi pokox mantaaaap,positif
beli harddisk eksternal produk sip recomend buat semua,positif
beli harddisk eksternal produk sangat bagus coba langsung bisa,positif
beli harddisk eksternal kualitas bagus packing rapih aman sangat pas dengan hardisk tidak goyang kencang dan presisi,positif
beli harddisk eksternal saya pesan warna hitam yang datang warna biru,negatif
beli harddisk eksternal packingnya bagus thx buat gratis ya wkwk mantep dah pokok,positif
beli harddisk eksternal barang fungsi dengan baik cuma kirim nya aja yg aga sedikit lama,positif
beli harddisk eksternal nayamul,positif
beli harddisk eksternal maaf baru beri ulas barang bagus trims lazada,positif
beli harddisk eksternal barang saya terima tepat waktu dan pas bangett,positif
beli harddisk eksternal kok gabisa dicolokin ke hp     gamasuk kecewa ah tampil doang bagus,negatif
beli harddisk eksternal flashdisk ok kirim ok terimakasih bos,positif
beli harddisk eksternal barang sampai satu hari lebih cepat dari estimasi barang terima paket kemas dengan baik agen antar juga ramah terima kasih,positif
beli harddisk eksternal barang ok fungsi packing rapi aman dan kurir sangat ramah tanks lzd,positif
beli harddisk eksternal cepat rabu pagi pesan jumat pagi sudah sampai barang sesuai gambar dan spec terima kasih,positif
beli harddisk eksternal ini digital tidak,negatif
beli harddisk eksternal barang bagus sesuai gambar kirim cepat gk sampe hari ke bandar lampung thks jet store thanks lazada,positif
beli harddisk eksternal bgs tp syg tali gantung tdk ada,positif
beli harddisk eksternal kirim barang cepat dan dalam bungkus yang rapi sekali pulpen noted dan pouch terima dengan baik untuk pouch nya bagi sisi buka ya sehingga rawan bentur hdd nya lorot keluar kena basah atau debu jadi beli lagi sendiri case hdd cara pisah biar aman hdd nya antivirus hanya laku untuk bulan saja proses instalnya cukup repot dan alhasil aktifasi codenya salah butuh hari untuk komunikasi dengan pihak sedia antivirusnya akhir perlu di remote dgn team viewer dari teknisi pusat baru hasil laku aktivasi harap awet ya hdd nya terima kasih,positif
beli harddisk eksternal wd sangat aman guna karena di dalam sudah ada wd exe dan anti virus usb hanya yang jadi masalah kadang harddistnya tidak bisa di eject sekian,positif
beli harddisk eksternal bagus dan desain tarik ringan sekali kemas luar tampak buat dari plastik jadi lihat ringkih,positif
beli harddisk eksternal kirim cepat packingan rapi banget bisa fungsi dengan baik tp untuk anti virus sudah dapat kode aktivasi pas di registrasi di antivirusnya malah gabisa activation code incorrect padahal sudah copas loh hmm,positif
beli harddisk eksternal kecil,positif
beli harddisk eksternal terimakasih lazada barang bagus dn kirim y cepat,positif
beli harddisk eksternal barang sudah sesuai cuman free pen sama ponch nya g ada,negatif
beli harddisk eksternal kirim sesuai kira tiba barang original barang tidak alami cacat packaging rapi tidak ada kendala,positif
beli harddisk eksternal produk cukup bagus,positif
beli harddisk eksternal only one word to describe this product perfect quick delivery good packaging and product very awesome and thank you for bonus even in description no bonus at all thank you ugreen flagship store in bahasa produk keren delivery cepat emas mantaph di deskripsi tidak ada bonus eh malah dapat bonus di kemas terima kasih lazada,positif
beli harddisk eksternal barang oke tks lazada,positif
beli harddisk eksternal bagus,positif
beli harddisk eksternal makasih lazada barang nya dah sampek ke tuju dan kotak hardisk eksternal nya fungsi dengan baik,positif
beli harddisk eksternal cracked in delivery in corner after weeks and only dvd s played not working just shows no disc no guarantee,negatif
beli harddisk eksternal simpan dengan aman,positif
beli harddisk eksternal mantap barang tiba tepat waktu,positif
beli harddisk eksternal barang sudah terima dgn baik presisi pas di harddisk saya terima kasih barang sesuai ekspetasi kirim kalo bisa lebih cepat lagi ya makasih,positif
beli harddisk eksternal barang bagus sesuai pesan,positif
beli harddisk eksternal sangat puas minta sekali di instal di kabul seller nya komunikatif dan responsif,positif
beli harddisk eksternal barang bagus tapi tidak sesuai nyata usb tapi transfer ratenya kurang dari mb s awalaupun lebih dari usb,netral
beli harddisk eksternal mantap,positif
beli harddisk eksternal terima kasih barang nya sudah sampe dengan cepat dan barang nya aman,positif
beli harddisk eksternal gak bisa copy file gak bisa formar ntfs hanya bisa banting,negatif
beli harddisk eksternal otg nya gak bisa dipake,negatif
beli harddisk eksternal peket sudah datang dgn rapih tp blm coba mudah an lancar n awet makas,positif
beli harddisk eksternal ok,positif
beli harddisk eksternal kecewa,negatif
beli harddisk eksternal sesuai seperti yang ada gambar kapasitas ambil dikit buat system recycle moga awet,positif
beli harddisk eksternal barang original tp kadang cepat ga stabil dan kecil,positif
beli harddisk eksternal bagus barang dapat hadiah mantap tapi tidak ada struk beli atau kartu garansi nya,positif
beli harddisk eksternal alhamdulillah brg sdh sampai kirim cepat dan rapi barang bagus dan ori windows jg ori saya senang sekali trimakasih,positif
beli harddisk eksternal produk kualitas,positif
beli harddisk eksternal mantaaap,positif
beli harddisk eksternal barang datang sesuai dan packing rapih,positif
beli harddisk eksternal mantap cepet bangt mindah data moga awet,positif
beli harddisk eksternal beli taun yg lalu harga masih bom murah ini gambar bagus suara bagus sampai sekarang masih awet fitur lumayan lengkap layar kecil bgt sih tp betul beli ini khusus buat di kamar kost asal ada tv aja kamar di rumah pake aja kadang ngerasa kurang besar gw si yg penting bisa nonton film dr hdd external nah tv ini bisa sih baca usb tapi ngga semua format bisa baca jadi kadang suka ada bbrp film yg kalo coba di tv rumah bisa tp kalo di tv kost tv ini maksdunya ga baca gt filenya kesel sih tp ya paling yg ga baca tonton di laptop aja,positif
beli harddisk eksternal mantap banget sempet ragu soal kirim jauh luar jawa alhamdulillah sampai dengam selamat packing kayu dan buble wrap sehingga aman terima kasih lazada,positif
beli harddisk eksternal mantapp packing pake kayu barang mulus puas banget,positif
beli harddisk eksternal kembali lazada kirim lebih cepat dr kira good no complain about the television normal semua free bracket pula keren lah seller dan lazada,positif
beli harddisk eksternal mantap lazada,positif
beli harddisk eksternal lumayan bagus,positif
beli harddisk eksternal p king rapi kirim super cepat,positif
beli harddisk eksternal sesuai deskripsi tanpa cacat kurir ramah dan friendly beli elektronik dari handphone sampai tv di lazada tidak pernah kecewa thanks lazada tahan kerjasama dgn reseller benar,positif
beli harddisk eksternal thanks lazada,positif
beli harddisk eksternal barang sudah terima dengan kondisi baik tapi dari estimasi telat hari karena kondisi dari kirim tapi overall barang cukup baik,positif
beli harddisk eksternal gw udah batalin mau libur gara tu kurir nelpon jam pagi kata lg d jalan dan smpe sore kaga nyampe itu ngerjain   kesasar apa emang tabrak x kurir ya konsumen ko d kerjain hadehh,negatif
beli harddisk eksternal kirim cukup cepat packing kayu jadi tidak ada masalah pada item tv nya gambar tajam dan jernih,positif
beli harddisk eksternal gimana cara tukar dengan yg bisa support usb saya rela tambah uang asal tv nya bisa support usb,negatif
beli harddisk eksternal barang sesuai pesan moga awet,positif
beli harddisk eksternal alhamdulillah gambar nya jernih oke deh pokok moga aj awet p,positif
beli harddisk eksternal produk bagus sayang kaki terlalu rendah,positif
beli harddisk eksternal dipacking dgn rapi bayar tempat jd bs cek dulu barang bagus atau gak udah mau thn yg lalu beli tv nya msh bagus n mantap,positif
